url,chemical_name,numericals
http://www.industrialchemistry.org/PDF/r1403.pdf,C9+-aromatics,NA
http://www.industrialchemistry.org/PDF/r12219.pdf,C10+-aromatics,NA
http://www.industrialchemistry.org/PDF/r472.pdf,"xylene, mixed",[1330-20-7]
http://www.industrialchemistry.org/PDF/r3990.pdf,"C4-stream, steam-cracked",NA
http://www.industrialchemistry.org/PDF/r11973.pdf,"C5-stream, steam-cracked",NA
http://www.industrialchemistry.org/PDF/r4373.pdf,D-camphor,"[2,2,1],[464-49-3]"
http://www.industrialchemistry.org/PDF/r14986.pdf,DL-camphor,"[2,2,1],[21368-68-3]"
http://www.industrialchemistry.org/PDF/r1899.pdf,(2-naphthyloxy)acetic acid,[120-23-0]
http://www.industrialchemistry.org/PDF/r12172.pdf,"2,4-D-butyl",[94-80-4]
http://www.industrialchemistry.org/PDF/r12173.pdf,"2,4-D-isooctyl",[25168-26-7]
http://www.industrialchemistry.org/PDF/r14007.pdf,"(2S,3S)-2-epoxyoctan-1-ol",[89461-51-8]
http://www.industrialchemistry.org/PDF/r15218.pdf,NA,[149-32-6]
http://www.industrialchemistry.org/PDF/r14004.pdf,(S)-glycidyl toluenesulfonate,[70987-78-9]
http://www.industrialchemistry.org/PDF/r213.pdf,3-diethylaminopropylamine,[104-78-9]
http://www.industrialchemistry.org/PDF/r212.pdf,3-dimethylaminopropylamine,[109-55-7]
http://www.industrialchemistry.org/PDF/r15492.pdf,(3-carboxypropyl)triphenylphosphonium bromide,[17857-14-6]
http://www.industrialchemistry.org/PDF/r4648.pdf,(R)-citronellal,"[2385-77-5],[219-194-5]"
http://www.industrialchemistry.org/PDF/r14043.pdf,"(3S,4S)-3-[(R)-1-(t-butyldimethylsilyloxy)ethyl]-4-(carboxyethyl)-2-azetidinone",[90776-58-2]
http://www.industrialchemistry.org/PDF/r15426.pdf,"(R,R)-1,2-diaminocyclohexane",[20439-47-8]
