Name,Actual Price,Discounted Price,Manufacturer,Medicine URL
English Moisturizing Cold Cream Small,Rs 80,Rs. 72,English,https://dawaai.pk/english-moisturizing-cold-cream-small-43554.html
Maglite ML-50LX 3-Cell C LED - Black,"Rs 8,000","Rs. 7,200",MAGLITE,https://dawaai.pk/maglite-ml-50lx-3-cell-c-led-black-3156.html
Winter Worries Box,Rs 750,Rs. 675,Dawaai,https://dawaai.pk/winter-worries-box-1786.html
N95 Mask,Rs 550,Rs. 495,Dawaai,https://dawaai.pk/mask-n95-734.html
Johar Joshanda Sugar Free,Rs 50,Rs. 43,Qarshi,https://dawaai.pk/johar-joshanda-sugarfree-445.html
Herbline Essentials Dry Skin Kit,"Rs 7,190","Rs. 6,471",Herbline Essentials,https://dawaai.pk/herbline-essentials-dry-skin-kit-3707.html
Hashmi Joshanda  ,Rs.300/Pack,"Rs.
            
            9.00",Hashmi,https://dawaai.pk/hashmi-joshanda-34913.html
Al-Asal Natural Honey-Mug,Rs 330,Rs. 297,English,https://dawaai.pk/al-asal-natural-hone-mug-43545.html
M-low 10mg,Rs 148,Rs. 125,Sante,https://dawaai.pk/m-low-10mg-768.html
Himalayan Shilajit,Rs 680,Rs. 612,Himalayan shilajit,https://dawaai.pk/himalayan-shilajit-36870.html
Hamdard Honey 100% Natural 400gm (Pouch),Rs 360,Rs. 324,Hamdard,https://dawaai.pk/hamdard-honey-100-natural-43735.html
Jaggery (Gurr)  1kg,Rs 300,Rs. 270,Dawaai,https://dawaai.pk/jaggery-gurr-1kg-37292.html
Jaggery (Gurr) 2.5kg,Rs 650,Rs. 585,Dawaai,https://dawaai.pk/jaggery-gurr-25kg-37291.html
Jaggery (Gurr) 5kg,"Rs 1,200","Rs. 1,080",Dawaai,https://dawaai.pk/jaggery-gurr-5kg-37290.html
Jaggery (Gurr) 10kg,"Rs 2,000","Rs. 1,800",Dawaai,https://dawaai.pk/jaggery-gurr-10kg-37289.html
Al-Asal Natural Honey Bottle-Large,Rs 280,Rs. 252,English,https://dawaai.pk/al-asal-natural-honey-pet-bottle-medium-large-43547.html
Al-Asal Natural Honey Bottle-Medium,Rs 150,Rs. 135,English,https://dawaai.pk/al-asal-natural-honey-pet-bottle-medium-43546.html
Imuran 50 tablet,Rs.1720.56/Pack,"Rs.
            
            365.62",GlaxoSmithKline,https://dawaai.pk/imuran-tabs-50mg-517.html
Certeza Cuff + Bladder (pvc) Dual Tube (standard) - Cr-6005 D-p,Rs 350,Rs. 315,Certeza,https://dawaai.pk/certeza-cuff-bladder-pvc-dual-tube-standard-cr-6005-d-p-2052.html
Atarax 10mg  tablet,Rs.39.82/Pack,Rs.33.85/Pack,GlaxoSmithKline,https://dawaai.pk/atarax-25mg-516.html
Ventolin Respiratory Solution  solution,Rs.42.82/Pack,Rs.36.40/Pack,GlaxoSmithKline,https://dawaai.pk/VentolinSolution-Syrup5mg-ml-100.html
Piriton 120ml,Rs 36,Rs. 31,GlaxoSmithKline,https://dawaai.pk/piriton-120ml-1888.html
Smart Flamingo R.o.m. Knee Brace  - 2141,"Rs 9,000","Rs. 8,100",Smart Flamingo,https://dawaai.pk/smart-flamingo-rom-knee-brace-2141-1810.html
Aero Spacer (With Mask) Medium AS175 ,"Rs 1,070",Rs. 963,Rossmax,https://dawaai.pk/aero-spacer-with-mask-2-23389.html
Bright Vision First Choice Anti Dust Washable Face Mask,Rs 220,Rs. 198,Bright Vision,https://dawaai.pk/first-choice-anti-dust-washable-face-mask-33611.html
YAMASU STETHOSCOPE S120,Rs 845,Rs. 761,Yamasu,https://dawaai.pk/yamasu-stethoscope-s120-23622.html
Rappaport Stethoscope EB 500,"Rs 1,375","Rs. 1,238",Rossmax,https://dawaai.pk/rappaport-stethoscope-eb-500-22585.html
Nebulizer Mask (Adult),Rs 150,Rs. 135,Dawaai,https://dawaai.pk/nebulizer-maska-dult-36642.html
Certeza Stethoscope (Double Tube / Rappaport Head) - CR-3004,Rs 900,Rs. 810,Certeza,https://dawaai.pk/certeza-stethoscope-double-tube-rappaport-head-cr-3004-2047.html
Certeza Stethoscope For Children - CR-3003,Rs 425,Rs. 383,Certeza,https://dawaai.pk/certeza-stethoscope-for-children-cr-3003-2046.html
Certeza Stethoscope (single Head) - CR-3001,Rs 375,Rs. 338,Certeza,https://dawaai.pk/certeza-stethoscope-single-head-cr-3001-2045.html
Rossmax Rappaport Stethoscope EB500,"Rs 1,500","Rs. 1,350",Rossmax,https://dawaai.pk/rossmax-rappaport-stethoscope-eb500-23407.html
Nebulizer  NJ100,"Rs 3,750","Rs. 3,375",Rossmax,https://dawaai.pk/nebulizer-nj100-36541.html
Rossmax Piston Nebuliser NE 100,"Rs 3,950","Rs. 3,555",Rossmax,https://dawaai.pk/rossmax-piston-nebuliser-ne-100-37499.html
