name,price,url,image_url
5'' SAT Nav GPS Navigation Car Truck Navigator 8GB Speedcam 2/3D View Maps XGODY,33.77,https://www.ebay.co.uk/itm/5-SAT-Nav-GPS-Navigation-Car-Truck-Navigator-8GB-Speedcam-2-3D-View-Maps-XGODY/253642104816,https://i.ebayimg.com/images/g/jkgAAOSwGhxboHD~/s-l300.jpg
Acer XC830 Intel Celeron J4005 4GB 1TB WiFi Windows 10 Desktop PC,181.99,https://www.ebay.co.uk/itm/Acer-XC830-Intel-Celeron-J4005-4GB-1TB-WiFi-Windows-10-Desktop-PC/352888860471?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/gnYAAOSw~8ld8m30/s-l300.jpg
"Apple Mac mini Quad Core i5 2.6Ghz 16GB 256GB SSD A1347 (Oct,2014) A Grade ",579.99,https://www.ebay.co.uk/itm/Apple-Mac-mini-Quad-Core-i5-2-6Ghz-16GB-256GB-SSD-A1347-Oct-2014-A-Grade/183221447493?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/v9gAAOxyzGlQ7z4B/s-l300.jpg
"Apple Mac mini MGEM2B/A (October, 2014) 1.4GHz 4GB RAM 500GB HDD",269.99,https://www.ebay.co.uk/itm/Apple-Mac-mini-MGEM2B-A-October-2014-1-4GHz-4GB-RAM-500GB-HDD/382192322751?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/4mwAAOSw~OVWuxqm/s-l300.jpg
"Lenovo IdeaCentre 310S Best Desktop PC Deal AMD A9, 4GB RAM 1TB HDD - Windows 10",219.99,https://www.ebay.co.uk/itm/Lenovo-IdeaCentre-310S-Best-Desktop-PC-Deal-AMD-A9-4GB-RAM-1TB-HDD-Windows-10/192863137308?var=492999208843&_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/qRQAAOSwL1RckNMY/s-l300.jpg
"Apple Mac mini MGEM2B/A (October, 2014) 1.4GHz 4GB RAM 500GB HDD VGC",289.99,https://www.ebay.co.uk/itm/Apple-Mac-mini-MGEM2B-A-October-2014-1-4GHz-4GB-RAM-500GB-HDD-VGC/382191290053?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/4mwAAOSw~OVWuxqm/s-l300.jpg
"Apple Mac mini  Core i5 2.5Ghz 8GB 500GB (June,2012) A+ Grade 6 Month Warranty ",329.99,https://www.ebay.co.uk/itm/Apple-Mac-mini-Core-i5-2-5Ghz-8GB-500GB-June-2012-A-Grade-6-Month-Warranty/183323588007?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/ytkAAOSwPc9WuxmV/s-l300.jpg
"Apple iMac 27"" Retina 5K QCore i5 3.4Ghz 8GB 1.02TB  Mid 2017 Kaby Lake 4GB GPU",1699.99,https://www.ebay.co.uk/itm/Apple-iMac-27-Retina-5K-QCore-i5-3-4Ghz-8GB-1-02TB-Mid-2017-Kaby-Lake-4GB-GPU/183509458941?_trkparms=%26rpp_cid%3D5e26e0a8f400c04d30719c7a%26rpp_icid%3D5e26e0a8f400c04d30719c79,https://i.ebayimg.com/images/g/9mwAAOSwzZFeAiF-/s-l300.jpg
NEW Lenovo V530S BEST PC  i5-8400 6-Cores 4GHz 8GB 256GB-SSD DVDRW Win10Pro,489.99,https://www.ebay.co.uk/itm/NEW-Lenovo-V530S-BEST-PC-i5-8400-6-Cores-4GHz-8GB-256GB-SSD-DVDRW-Win10Pro/324203605499,https://i.ebayimg.com/images/g/vLEAAOSwYgle7Mq2/s-l300.jpg
Raspberry Pi 4 Model B with 2GB RAM (2019 Model),40.00,https://www.ebay.co.uk/itm/Raspberry-Pi-4-Model-B-with-2GB-RAM-2019-Model/333254685279,https://i.ebayimg.com/images/g/uDEAAOSw~oddGy6G/s-l300.jpg
Raspberry Pi 4 Model B (4GB) RAM REV 1.2 4K Quad Core 64 Bit,39.99,https://www.ebay.co.uk/itm/Raspberry-Pi-4-Model-B-4GB-RAM-REV-1-2-4K-Quad-Core-64-Bit/383641529822,https://i.ebayimg.com/images/g/oHQAAOSwppJfFfNq/s-l300.jpg
Lenovo V55t-15API - 11CC0009UK Business Desktop PC + Desktop Lenovo - Warranty V,402.99,https://www.ebay.co.uk/itm/Lenovo-V55t-15API-11CC0009UK-Business-Desktop-PC-Desktop-Lenovo-Warranty-V/383603766851,https://i.ebayimg.com/images/g/qGYAAOSwP79e8qn3/s-l300.jpg
"Lenovo V55T- 11CC0009UK PC, AMD Ryzen 5 8GB 256GB SSD WIN 10 PRO DESKTOP PC",349.99,https://www.ebay.co.uk/itm/Lenovo-V55T-11CC0009UK-PC-AMD-Ryzen-5-8GB-256GB-SSD-WIN-10-PRO-DESKTOP-PC/383603946403,https://i.ebayimg.com/images/g/SFwAAOSwyaNeTC~8/s-l300.jpg
"Kenwood DMX 7017DABS 7"" Bluetooth DAB+ Radio Apple Carplay Android Car AV Screen",299.99,https://www.ebay.co.uk/itm/Kenwood-DMX-7017DABS-7-Bluetooth-DAB-Radio-Apple-Carplay-Android-Car-AV-Screen/193182176253,https://i.ebayimg.com/images/g/RgcAAOSwmRVdeQiU/s-l300.jpg
"Pioneer TS-G1720F 6.5"" 17cm 300 watt peak 2 way Coaxial Car Van Door Speakers",26.00,https://www.ebay.co.uk/itm/Pioneer-TS-G1720F-6-5-17cm-300-watt-peak-2-way-Coaxial-Car-Van-Door-Speakers/173374536125,https://i.ebayimg.com/images/g/4PAAAOSw9mteO4sN/s-l300.jpg
"Alpine iLX-F903D Halo9 9"" Apple CarPlay Android Auto DAB Bluetooth Car Stereo",658.75,https://www.ebay.co.uk/itm/Alpine-iLX-F903D-Halo9-9-Apple-CarPlay-Android-Auto-DAB-Bluetooth-Car-Stereo/333622396685,https://i.ebayimg.com/images/g/jSgAAOSwUQle4fjU/s-l300.jpg
For Mercedes Benz C/CLC/CLK-Clas,68.20,https://www.ebay.co.uk/itm/For-Mercedes-Benz-C-CLC-CLK-Classe-Car-DVD-Player-Stereo-Radio-Bluetooth-Camera/224061985592,https://i.ebayimg.com/images/g/K14AAOSw5ERe36uK/s-l300.jpg
Android 9.0 Head Unit Car DVD SAT NAV BT For VW Golf MK5 Jetta Caddy Seat Passat,205.88,https://www.ebay.co.uk/itm/Android-9-0-Head-Unit-Car-DVD-SAT-NAV-BT-For-VW-Golf-MK5-Jetta-Caddy-Seat-Passat/223941891474?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/8IEAAOSwssdeZ0Qt/s-l300.jpg
Aguri DX1000 Dash Cam & GPS Speed Trap Detector,129.95,https://www.ebay.co.uk/itm/Aguri-DX1000-Dash-Cam-GPS-Speed-Trap-Detector/193105229032?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/h4kAAOSwRbJb7tkG/s-l300.jpg
"Nextbase 312GW Rose Gold Dash Cam 2.7"" LED Car Recorder Night Vision GPS Wi-Fi",44.95,https://www.ebay.co.uk/itm/Nextbase-312GW-Rose-Gold-Dash-Cam-2-7-LED-Car-Recorder-Night-Vision-GPS-Wi-Fi/114129721463?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/nAsAAOSwl2BeVUHS/s-l300.jpg
"7"" Car DVD Player Stereo Radio GPS Navigation VW Touareg T5 Transporter Multivan",195.80,https://www.ebay.co.uk/itm/7-Car-DVD-Player-Stereo-Radio-GPS-Navigation-VW-Touareg-T5-Transporter-Multivan/263353347755?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/46wAAOSwPO5eViau/s-l300.jpg
KitSound Hive 2+ Wireless Bluetooth Portable Speaker - Black1,39.99,https://www.ebay.co.uk/itm/KitSound-Hive-2-Wireless-Bluetooth-Portable-Speaker-Black1/173004026651?_trkparms=%26rpp_cid%3D5d70ee74997f3e36f8ded7f8%26rpp_icid%3D5d70ee74997f3e36f8ded7f7,https://i.ebayimg.com/images/g/wm4AAOSwJ1JeofA4/s-l300.jpg
KitSound Immerse 55 Wireless Bluetooth Headphones with Active Noise Cancelling,39.99,https://www.ebay.co.uk/itm/KitSound-Immerse-55-Wireless-Bluetooth-Headphones-with-Active-Noise-Cancelling/173034114897?_trkparms=%26rpp_cid%3D5d70ee74997f3e36f8ded7f8%26rpp_icid%3D5d70ee74997f3e36f8ded7f7,https://i.ebayimg.com/images/g/ztkAAOSwme9eofAi/s-l300.jpg
Kitsound Harlem Bluetooth Wireless Over-Ear Headphones With Microphone Rose Gold,29.99,https://www.ebay.co.uk/itm/Kitsound-Harlem-Bluetooth-Wireless-Over-Ear-Headphones-With-Microphone-Rose-Gold/182526012967?_trkparms=%26rpp_cid%3D5d70ee74997f3e36f8ded7f8%26rpp_icid%3D5d70ee74997f3e36f8ded7f7,https://i.ebayimg.com/images/g/K00AAOSwHzheofAa/s-l300.jpg
Kitsound BoomBar Portable Rechargeable Stereo Bluetooth Speaker - Black,24.99,https://www.ebay.co.uk/itm/Kitsound-BoomBar-Portable-Rechargeable-Stereo-Bluetooth-Speaker-Black/181874941939?_trkparms=%26rpp_cid%3D5d70ee74997f3e36f8ded7f8%26rpp_icid%3D5d70ee74997f3e36f8ded7f7,https://i.ebayimg.com/images/g/~GYAAOSwRPBdJIlz/s-l300.jpg
SKULLCANDY Crusher S6CRW-K591 Wireless Bluetooth Headphones - Black - Currys,119.00,https://www.ebay.co.uk/itm/SKULLCANDY-Crusher-S6CRW-K591-Wireless-Bluetooth-Headphones-Black-Currys/112697546881,https://i.ebayimg.com/images/g/QyEAAOSwow5e6hDs/s-l300.jpg
SKULLCANDY Cassette S5CSW-M725 Wireless Bluetooth Headphones - Retro Surf Purple,39.99,https://www.ebay.co.uk/itm/SKULLCANDY-Cassette-S5CSW-M725-Wireless-Bluetooth-Headphones-Retro-Surf-Purple/133364310700,https://i.ebayimg.com/images/g/BKAAAOSw-m1e6NX2/s-l300.jpg
SKULLCANDY Jib+ Wireless Bluetooth Earphones - Red - Currys,24.99,https://www.ebay.co.uk/itm/SKULLCANDY-Jib-Wireless-Bluetooth-Earphones-Red-Currys/133132094731,https://i.ebayimg.com/images/g/ujEAAOSwn0Ne6hEv/s-l300.jpg
ROBERTS Vintage Portable DAB Radio - Black - Currys,149.00,https://www.ebay.co.uk/itm/ROBERTS-Vintage-Portable-DAB-Radio-Black-Currys/113498474448,https://i.ebayimg.com/images/g/a~wAAOSwm3he6hDx/s-l300.jpg
SKULLCANDY Ink'd+ BT Wireless Bluetooth Earphones - Black - Currys,29.99,https://www.ebay.co.uk/itm/SKULLCANDY-Inkd-BT-Wireless-Bluetooth-Earphones-Black-Currys/113770398563,https://i.ebayimg.com/images/g/yDAAAOSwN1Ne6hFo/s-l300.jpg
ROBERTS Ortus 3 DAB/FM Clock Radio - Black - Currys,89.99,https://www.ebay.co.uk/itm/ROBERTS-Ortus-3-DAB-FM-Clock-Radio-Black-Currys/112473153626,https://i.ebayimg.com/images/g/sgIAAOSw07Be6hGE/s-l300.jpg
NEXTBASE 522GW Quad HD Dash Cam with Amazon Alexa - Black - Currys,149.00,https://www.ebay.co.uk/itm/NEXTBASE-522GW-Quad-HD-Dash-Cam-with-Amazon-Alexa-Black-Currys/133053976807?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/hm8AAOSwFTde6hFu/s-l300.jpg
"Nextbase 512GW Video Recording Night Vision 1440p 3"" Dash Cam Bundle 8GB SD Card",89.95,https://www.ebay.co.uk/itm/Nextbase-512GW-Video-Recording-Night-Vision-1440p-3-Dash-Cam-Bundle-8GB-SD-Card/302424871356?_trkparms=%26rpp_cid%3D5f1049abe58ebca20585d171%26rpp_icid%3D5f1049abe58ebca20585d170,https://i.ebayimg.com/images/g/958AAOSwE25e4j-k/s-l300.jpg
